,,,,Handler defined,,,,,,
0x1F80_1800,0x0000_0001,cdrom.status,cdrom::status,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
0x1F80_1801,0x0000_0001,cdrom.cdrom1801,cdrom::cdrom1801,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
0x1F80_1802,0x0000_0001,cdrom.cdrom1802,cdrom::cdrom1802,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
0x1F80_1803,0x0000_0001,cdrom.cdrom1803,cdrom::cdrom1803,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
0x1F80_1810,0x0000_0004,gpu.gpu1810,gpu::gpu1810,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_1814,0x0000_0004,gpu.gpu1814,gpu::gpu1814,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_1C00,0x0000_0002,spu.voice0_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1C02,0x0000_0002,spu.voice0_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1C04,0x0000_0002,spu.voice0_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1C06,0x0000_0002,spu.voice0_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1C08,0x0000_0004,spu.voice0_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1C0C,0x0000_0002,spu.voice0_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1C0E,0x0000_0002,spu.voice0_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1C10,0x0000_0002,spu.voice1_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1C12,0x0000_0002,spu.voice1_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1C14,0x0000_0002,spu.voice1_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1C16,0x0000_0002,spu.voice1_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1C18,0x0000_0004,spu.voice1_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1C1C,0x0000_0002,spu.voice1_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1C1E,0x0000_0002,spu.voice1_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1C20,0x0000_0002,spu.voice2_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1C22,0x0000_0002,spu.voice2_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1C24,0x0000_0002,spu.voice2_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1C26,0x0000_0002,spu.voice2_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1C28,0x0000_0004,spu.voice2_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1C2C,0x0000_0002,spu.voice2_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1C2E,0x0000_0002,spu.voice2_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1C30,0x0000_0002,spu.voice3_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1C32,0x0000_0002,spu.voice3_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1C34,0x0000_0002,spu.voice3_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1C36,0x0000_0002,spu.voice3_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1C38,0x0000_0004,spu.voice3_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1C3C,0x0000_0002,spu.voice3_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1C3E,0x0000_0002,spu.voice3_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1C40,0x0000_0002,spu.voice4_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1C42,0x0000_0002,spu.voice4_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1C44,0x0000_0002,spu.voice4_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1C46,0x0000_0002,spu.voice4_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1C48,0x0000_0004,spu.voice4_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1C4C,0x0000_0002,spu.voice4_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1C4E,0x0000_0002,spu.voice4_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1C50,0x0000_0002,spu.voice5_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1C52,0x0000_0002,spu.voice5_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1C54,0x0000_0002,spu.voice5_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1C56,0x0000_0002,spu.voice5_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1C58,0x0000_0004,spu.voice5_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1C5C,0x0000_0002,spu.voice5_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1C5E,0x0000_0002,spu.voice5_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1C60,0x0000_0002,spu.voice6_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1C62,0x0000_0002,spu.voice6_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1C64,0x0000_0002,spu.voice6_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1C66,0x0000_0002,spu.voice6_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1C68,0x0000_0004,spu.voice6_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1C6C,0x0000_0002,spu.voice6_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1C6E,0x0000_0002,spu.voice6_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1C70,0x0000_0002,spu.voice7_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1C72,0x0000_0002,spu.voice7_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1C74,0x0000_0002,spu.voice7_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1C76,0x0000_0002,spu.voice7_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1C78,0x0000_0004,spu.voice7_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1C7C,0x0000_0002,spu.voice7_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1C7E,0x0000_0002,spu.voice7_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1C80,0x0000_0002,spu.voice8_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1C82,0x0000_0002,spu.voice8_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1C84,0x0000_0002,spu.voice8_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1C86,0x0000_0002,spu.voice8_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1C88,0x0000_0004,spu.voice8_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1C8C,0x0000_0002,spu.voice8_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1C8E,0x0000_0002,spu.voice8_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1C90,0x0000_0002,spu.voice9_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1C92,0x0000_0002,spu.voice9_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1C94,0x0000_0002,spu.voice9_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1C96,0x0000_0002,spu.voice9_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1C98,0x0000_0004,spu.voice9_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1C9C,0x0000_0002,spu.voice9_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1C9E,0x0000_0002,spu.voice9_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1CA0,0x0000_0002,spu.voice10_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1CA2,0x0000_0002,spu.voice10_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1CA4,0x0000_0002,spu.voice10_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1CA6,0x0000_0002,spu.voice10_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1CA8,0x0000_0004,spu.voice10_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1CAC,0x0000_0002,spu.voice10_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1CAE,0x0000_0002,spu.voice10_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1CB0,0x0000_0002,spu.voice11_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1CB2,0x0000_0002,spu.voice11_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1CB4,0x0000_0002,spu.voice11_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1CB6,0x0000_0002,spu.voice11_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1CB8,0x0000_0004,spu.voice11_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1CBC,0x0000_0002,spu.voice11_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1CBE,0x0000_0002,spu.voice11_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1CC0,0x0000_0002,spu.voice12_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1CC2,0x0000_0002,spu.voice12_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1CC4,0x0000_0002,spu.voice12_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1CC6,0x0000_0002,spu.voice12_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1CC8,0x0000_0004,spu.voice12_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1CCC,0x0000_0002,spu.voice12_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1CCE,0x0000_0002,spu.voice12_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1CD0,0x0000_0002,spu.voice13_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
0x1F80_1CD2,0x0000_0002,spu.voice13_volr,spu::voice_volr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C02) / 0x10) as usize
0x1F80_1CD4,0x0000_0002,spu.voice13_srate,spu::voice_srate,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C04) / 0x10) as usize
0x1F80_1CD6,0x0000_0002,spu.voice13_saddr,spu::voice_saddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C06) / 0x10) as usize
0x1F80_1CD8,0x0000_0004,spu.voice13_adsr,spu::voice_adsr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C08) / 0x10) as usize
0x1F80_1CDC,0x0000_0002,spu.voice13_cvol,spu::voice_cvol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0C) / 0x10) as usize
0x1F80_1CDE,0x0000_0002,spu.voice13_raddr,spu::voice_raddr,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C0E) / 0x10) as usize
0x1F80_1CE0,0x0000_0002,spu.voice14_voll,spu::voice_voll,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,((address - 0x1F80_1C00) / 0x10) as usize
